시군명,정류소명,정류소id,위도,경도,최근접CCTV거리_m
의왕시,의왕톨게이트,226000039,37.34645,126.9839333,976.0226662724725
의왕시,의왕톨게이트,226000038,37.3485167,126.9845667,979.7426064140294
의왕시,학현삼거리,226000248,37.3846,127.0123333,981.1017138969207
의왕시,학현삼거리,226000284,37.3845,127.01235,991.7405116449822
의왕시,의왕신부곡IC(경유),277103314,37.3328,126.9682833,992.8387762579287
의왕시,숲속마을3.5단지,226000207,37.4023833,126.9858333,993.0833043068251
의왕시,의왕신부곡IC(경유),277103315,37.3323833,126.9683,996.874820525624
의왕시,포일운동장앞,226000149,37.3846667,126.9838333,1002.7917778110517
의왕시,샘마을.대안중학교,226000136,37.3746,126.9676333,1016.2328687238222
의왕시,의왕청계영업소,226000191,37.39245,127.0261667,1018.6184727714206
의왕시,국궁터,226000251,37.3830667,127.0107167,1018.7344512648764
의왕시,올가,226000253,37.37635,127.0071333,1018.7450077746216
의왕시,하루,226000249,37.3839,127.0106667,1019.3266212374011
의왕시,국궁터,226000252,37.38305,127.01085,1030.4978262531956
의왕시,하루,226000250,37.3838833,127.0108167,1032.3343860587277
의왕시,부곡차량사업소,226000369,37.3199,126.9461,1036.9417398206917
의왕시,인덕원IT밸리,226000230,37.4016667,126.9920167,1040.908048921295
의왕시,인덕원IT밸리,226000229,37.4018167,126.9917833,1045.92826136496
의왕시,부곡차량사업소,226000368,37.3201,126.9458667,1054.1336791294816
의왕시,대림아파트4단지,226000052,37.3863333,126.9784167,1057.7399294857028
의왕시,올가,226000254,37.376,127.0073167,1058.2211499334687
의왕시,의일마을.물레방아간,226000260,37.3741167,127.0035333,1058.6005533980742
의왕시,어린이공원,226000238,37.3852833,126.97995,1070.574072856994
의왕시,대림아파트5단지,226000061,37.38605,126.9784333,1080.5986276313533
의왕시,의일마을.물레방아간,226000259,37.3739167,127.0038667,1090.1841580910154
의왕시,능안삼거리,226509100,37.3730333,126.9972,1120.7931399956346
의왕시,청계4통경로당,226000301,37.4011833,127.0065333,1125.1578970150365
의왕시,수원상회,226000370,37.3184667,126.9454667,1127.0706019767317
의왕시,숲속마을3.5단지,226000206,37.4036333,126.9862833,1131.0623694499573
의왕시,수원상회,226000371,37.3183833,126.9453667,1138.2115972383813
의왕시,청계4통경로당,226000300,37.4012167,127.0063333,1139.1141438123273
의왕시,북골,226000255,37.3750167,127.0073,1140.0012690711053
의왕시,어린이공원,226000239,37.3848167,126.9792833,1145.9527632651893
의왕시,능안삼거리,226000390,37.3727667,126.9967833,1156.2750846369843
의왕시,오작교,226000257,37.37435,127.0066,1162.6162710776846
의왕시,왕림마을,226000002,37.34495,126.98715,1164.7204695141315
의왕시,북골,226000256,37.3747167,127.0073,1166.1287907446278
의왕시,오작교,226000258,37.3741667,127.0063833,1168.9874968182594
의왕시,왕림마을,226000055,37.345,126.98725,1174.1891334682832
의왕시,포일성당입구,226000148,37.3835667,126.9816,1177.3989787611895
의왕시,농협,226000391,37.3885,126.9745333,1180.340903987964
의왕시,농협삼거리.우미린아파트,226000024,37.3883,126.9745333,1190.8990214868493
의왕시,발도르프학교,226000299,37.4029833,127.00855,1200.4369433633362
의왕시,발도르프학교,226000298,37.40305,127.00845,1210.965035063404
의왕시,경기외국어고등학교,226508770,37.3466667,126.9582667,1212.9673889795763
의왕시,어린이집,226000324,37.3540667,126.9859667,1214.0654625471616
의왕시,어린이집,226000323,37.3539833,126.98605,1216.8306540674682
의왕시,구생명교회,226000018,37.3835167,126.9805,1220.4310499822666
의왕시,자연앤아파트,226508760,37.3465667,126.9579667,1234.3903967641124
의왕시,남교회,226000017,37.3839333,126.9787667,1253.291244748009
의왕시,대원아파트,226000066,37.3763667,126.9706667,1257.0321341228234
의왕시,포일남교회,226000147,37.3837667,126.97875,1269.7697196554261
의왕시,진부촌,226000295,37.4047167,127.01535,1276.3129946003687
의왕시,갈뫼초등학교,226000127,37.3761833,126.9723,1284.6137708264862
의왕시,대원아파트,226000126,37.37665,126.9705833,1285.4579555089676
의왕시,초평슈퍼,226000373,37.3165833,126.9435667,1292.8707102441101
의왕시,오린개마을,226000332,37.3715,127.0018167,1298.409696954496
의왕시,초평슈퍼,226000372,37.31665,126.9435,1300.34445823222
의왕시,진부촌,226000294,37.4049333,127.0155333,1301.4359169467411
의왕시,갈뫼초등학교,226000065,37.3760667,126.9731667,1303.702615549202
의왕시,오린개마을,226000331,37.3714167,127.0019833,1310.2199207318988
의왕시,포일자이아파트사거리,226000342,37.3843667,126.97665,1325.2582947131882
의왕시,왕곡동마을회관,226000316,37.3448833,126.9903167,1331.732392667963
의왕시,왕곡동마을회관,226000317,37.3449667,126.9903,1337.5109964024416
의왕시,포일자이아파트사거리,226000016,37.38435,126.9763667,1342.9705469448506
의왕시,내손공영주차장,226000062,37.3832667,126.9778833,1357.9016645579677
의왕시,회차(경유),277101753,37.4057167,126.9872833,1365.2335853902437
의왕시,내손공영주차장,226000131,37.3833,126.9776167,1367.9491478542438
의왕시,옛골,226509090,37.3713167,126.9937,1385.4408336735373
의왕시,옛골,226509080,37.3712167,126.9936167,1398.4364171780496
의왕시,상록아파트,226000240,37.3775,126.9721833,1417.7983620280575
의왕시,내손주공아파트,226000200,37.3776333,126.972,1426.4920709026587
의왕시,청계산입구,226000293,37.4058333,127.0177,1427.0903205956247
의왕시,지장암,226000325,37.3563333,126.9872667,1436.593539703721
의왕시,청계산입구,226000292,37.4059333,127.0176333,1436.822646407478
의왕시,지장암,226000326,37.3564333,126.9872167,1438.8630988090522
의왕시,과천터널진입(경유),277103200,37.40185,127.00175,1473.8106125136262
의왕시,포일자이아파트,226000193,37.3838,126.9748167,1480.3460284864473
의왕시,포일자이아파트,226000341,37.3835833,126.97505,1483.9882948689678
의왕시,안양남초등학교,226000135,37.3787167,126.9705333,1507.6312205085198
의왕시,갈뫼중학교.내손1동주민센터,226000128,37.3773,126.9752667,1511.2573283230845
의왕시,농수산물시장.포일단지입구,226000134,37.3846167,126.9727667,1551.2099746813471
의왕시,타운하우스,226509070,37.3708667,126.9901167,1568.158188864385
의왕시,옛방앗간,226000377,37.3137,126.9399333,1578.9261976658927
의왕시,타운하우스,226509060,37.3708333,126.9897833,1586.5802202581895
의왕시,갈뫼중학교.내손1동주민센터,226000064,37.3779,126.9759667,1599.9592247534783
의왕시,옛방앗간,226000376,37.3136167,126.9396667,1602.645017212311
의왕시,오메기마을,226000327,37.3573333,126.98875,1607.0325220972977
의왕시,오메기마을,226000328,37.3574667,126.98875,1615.2065354971458
의왕시,국민체육센터,226000063,37.3815667,126.9756,1628.0412186671128
의왕시,의왕국민체육센터,226000130,37.3817,126.9753333,1629.9747219436786
의왕시,모락산안골식당,226509050,37.3711667,126.9882167,1633.2810024373418
의왕시,중간새우대,226000379,37.3112833,126.9391667,1671.7510312140087
의왕시,청계산주차장,226000291,37.4055667,127.0256667,1676.6928781125894
의왕시,중간새우대,226000378,37.3111,126.9391,1681.1919205283432
의왕시,윗새우대,226000375,37.3157833,126.9388333,1689.3600796040007
의왕시,계원예술대학교,226000140,37.3791833,126.97515,1691.962833005172
의왕시,롯데마트,226000340,37.3800833,126.9729333,1710.9986992183965
의왕시,계원예술대학교,226000123,37.3796833,126.9752833,1747.1968562554305
의왕시,초평동,226000380,37.3085667,126.9391667,1749.445547917184
의왕시,왕림윗마을,226000155,37.3461167,126.9957833,1781.1364669208342
의왕시,왕림윗마을,226000058,37.34625,126.9962167,1820.3868932346534
의왕시,뒷골,226000330,37.3580667,126.9917333,1873.8498911765878
의왕시,뒷골,226000336,37.3579667,126.9921,1896.1371826115078
의왕시,뒷골,226000329,37.35835,126.99205,1914.0842850068327
의왕시,의왕터널진입(경유),277103220,37.3656667,126.9992333,1926.0875321243686
의왕시,강진마을,226000388,37.3196833,126.9350333,2011.4213139978428
의왕시,백운동산,226000333,37.3639,126.9976333,2126.96756433699
의왕시,백운동산,226000334,37.3638167,126.9975667,2136.5972070484095
의왕시,오메기저수지,226000335,37.3575333,126.99635,2208.9875272399613
