위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.3866167,126.9804333,정류소,,,150.0,923.0515404011296,버스정류장 150m 내 CCTV 없음,WGS84,37.3866167,126.9804333,126.9804333,37.3866167,EPSG:4326,POINT (126.9804333 37.3866167)
37.3864833,126.9803167,정류소,,,150.0,941.1110103241034,버스정류장 150m 내 CCTV 없음,WGS84,37.3864833,126.9803167,126.9803167,37.3864833,EPSG:4326,POINT (126.9803167 37.3864833)
37.40305,127.00845,정류소,,,150.0,1210.965035063404,버스정류장 150m 내 CCTV 없음,WGS84,37.40305,127.00845,127.00845,37.40305,EPSG:4326,POINT (127.00845 37.40305)
37.4029833,127.00855,정류소,,,150.0,1200.4369433633362,버스정류장 150m 내 CCTV 없음,WGS84,37.4029833,127.00855,127.00855,37.4029833,EPSG:4326,POINT (127.00855 37.4029833)
37.3893,127.00025,정류소,,,150.0,300.3529605379854,버스정류장 150m 내 CCTV 없음,WGS84,37.3893,127.00025,127.00025,37.3893,EPSG:4326,POINT (127.00025 37.3893)
37.3892667,127.0004833,정류소,,,150.0,320.1357590456243,버스정류장 150m 내 CCTV 없음,WGS84,37.3892667,127.0004833,127.0004833,37.3892667,EPSG:4326,POINT (127.0004833 37.3892667)
37.387,127.0181833,정류소,,,150.0,770.0805206692613,버스정류장 150m 내 CCTV 없음,WGS84,37.387,127.0181833,127.0181833,37.387,EPSG:4326,POINT (127.0181833 37.387)
37.38705,127.018,정류소,,,150.0,758.2296441451133,버스정류장 150m 내 CCTV 없음,WGS84,37.38705,127.018,127.018,37.38705,EPSG:4326,POINT (127.018 37.38705)
37.3866,126.9845167,정류소,,,150.0,779.8696321391903,버스정류장 150m 내 CCTV 없음,WGS84,37.3866,126.9845167,126.9845167,37.3866,EPSG:4326,POINT (126.9845167 37.3866)
37.3867167,126.98465,정류소,,,150.0,764.7868715404763,버스정류장 150m 내 CCTV 없음,WGS84,37.3867167,126.98465,126.98465,37.3867167,EPSG:4326,POINT (126.98465 37.3867167)
