시군명,정류소명,정류소id,위도,경도,crs,source_file,latitude,longitude,x,y,epsg,wkt
의왕시,새터마을,226000114,37.3927667,127.0138167,WGS84,자료/버스정류소현황.xls,37.3927667,127.0138167,127.0138167,37.3927667,EPSG:4326,POINT (127.0138167 37.3927667)
의왕시,새터마을,226000121,37.3925667,127.0123,WGS84,자료/버스정류소현황.xls,37.3925667,127.0123,127.0123,37.3925667,EPSG:4326,POINT (127.0123 37.3925667)
의왕시,새터마을종점,226000274,37.39075,127.0114167,WGS84,자료/버스정류소현황.xls,37.39075,127.0114167,127.0114167,37.39075,EPSG:4326,POINT (127.0114167 37.39075)
의왕시,샘마을.대안중학교,226000136,37.3746,126.9676333,WGS84,자료/버스정류소현황.xls,37.3746,126.9676333,126.9676333,37.3746,EPSG:4326,POINT (126.9676333 37.3746)
의왕시,서울구치소,226000118,37.3919,126.9889,WGS84,자료/버스정류소현황.xls,37.3919,126.9889,126.9889,37.3919,EPSG:4326,POINT (126.9889 37.3919)
의왕시,서울구치소,226000117,37.3918667,126.98825,WGS84,자료/버스정류소현황.xls,37.3918667,126.98825,126.98825,37.3918667,EPSG:4326,POINT (126.98825 37.3918667)
의왕시,서해그랑블,226000201,37.3495333,126.9742667,WGS84,자료/버스정류소현황.xls,37.3495333,126.9742667,126.9742667,37.3495333,EPSG:4326,POINT (126.9742667 37.3495333)
의왕시,서해그랑블,226000029,37.3497833,126.97395,WGS84,자료/버스정류소현황.xls,37.3497833,126.97395,126.97395,37.3497833,EPSG:4326,POINT (126.97395 37.3497833)
의왕시,선경무궁화아파트,226000008,37.3518333,126.9789167,WGS84,자료/버스정류소현황.xls,37.3518333,126.9789167,126.9789167,37.3518333,EPSG:4326,POINT (126.9789167 37.3518333)
의왕시,선경무궁화아파트,226000015,37.3521833,126.9787167,WGS84,자료/버스정류소현황.xls,37.3521833,126.9787167,126.9787167,37.3521833,EPSG:4326,POINT (126.9787167 37.3521833)
의왕시,수선화아파트,226000175,37.3651333,126.9655833,WGS84,자료/버스정류소현황.xls,37.3651333,126.9655833,126.9655833,37.3651333,EPSG:4326,POINT (126.9655833 37.3651333)
의왕시,수원상회,226000371,37.3183833,126.9453667,WGS84,자료/버스정류소현황.xls,37.3183833,126.9453667,126.9453667,37.3183833,EPSG:4326,POINT (126.9453667 37.3183833)
의왕시,수원상회,226000370,37.3184667,126.9454667,WGS84,자료/버스정류소현황.xls,37.3184667,126.9454667,126.9454667,37.3184667,EPSG:4326,POINT (126.9454667 37.3184667)
의왕시,숲속마을1단지,226000205,37.3968667,126.98615,WGS84,자료/버스정류소현황.xls,37.3968667,126.98615,126.98615,37.3968667,EPSG:4326,POINT (126.98615 37.3968667)
의왕시,숲속마을1단지,226000204,37.3969333,126.9865,WGS84,자료/버스정류소현황.xls,37.3969333,126.9865,126.9865,37.3969333,EPSG:4326,POINT (126.9865 37.3969333)
의왕시,숲속마을2단지,226000228,37.4008833,126.98875,WGS84,자료/버스정류소현황.xls,37.4008833,126.98875,126.98875,37.4008833,EPSG:4326,POINT (126.98875 37.4008833)
의왕시,숲속마을2단지,226000227,37.4003833,126.9872833,WGS84,자료/버스정류소현황.xls,37.4003833,126.9872833,126.9872833,37.4003833,EPSG:4326,POINT (126.9872833 37.4003833)
의왕시,숲속마을3.5단지,226000206,37.4036333,126.9862833,WGS84,자료/버스정류소현황.xls,37.4036333,126.9862833,126.9862833,37.4036333,EPSG:4326,POINT (126.9862833 37.4036333)
의왕시,숲속마을3.5단지,226000207,37.4023833,126.9858333,WGS84,자료/버스정류소현황.xls,37.4023833,126.9858333,126.9858333,37.4023833,EPSG:4326,POINT (126.9858333 37.4023833)
의왕시,숲속마을4단지,226000209,37.4011,126.9856833,WGS84,자료/버스정류소현황.xls,37.4011,126.9856833,126.9856833,37.4011,EPSG:4326,POINT (126.9856833 37.4011)
의왕시,숲속마을4단지,226000208,37.4010833,126.9858833,WGS84,자료/버스정류소현황.xls,37.4010833,126.9858833,126.9858833,37.4010833,EPSG:4326,POINT (126.9858833 37.4010833)
의왕시,숲속마을입구,226000223,37.3960667,126.9854333,WGS84,자료/버스정류소현황.xls,37.3960667,126.9854333,126.9854333,37.3960667,EPSG:4326,POINT (126.9854333 37.3960667)
의왕시,숲속마을입구,226000224,37.39605,126.9851667,WGS84,자료/버스정류소현황.xls,37.39605,126.9851667,126.9851667,37.39605,EPSG:4326,POINT (126.9851667 37.39605)
의왕시,시티병원,226000068,37.34985,126.9759667,WGS84,자료/버스정류소현황.xls,37.34985,126.9759667,126.9759667,37.34985,EPSG:4326,POINT (126.9759667 37.34985)
의왕시,시티병원,226000030,37.3500833,126.9760333,WGS84,자료/버스정류소현황.xls,37.3500833,126.9760333,126.9760333,37.3500833,EPSG:4326,POINT (126.9760333 37.3500833)
의왕시,시티병원.구선병원(마을),226000319,37.3501,126.97655,WGS84,자료/버스정류소현황.xls,37.3501,126.97655,126.97655,37.3501,EPSG:4326,POINT (126.97655 37.3501)
의왕시,신안아파트.글로벌도서관,226000044,37.3577667,126.9661333,WGS84,자료/버스정류소현황.xls,37.3577667,126.9661333,126.9661333,37.3577667,EPSG:4326,POINT (126.9661333 37.3577667)
의왕시,신원수선화아파트,226000176,37.3650333,126.9644333,WGS84,자료/버스정류소현황.xls,37.3650333,126.9644333,126.9644333,37.3650333,EPSG:4326,POINT (126.9644333 37.3650333)
의왕시,신협오거리,226000100,37.3196333,126.9501833,WGS84,자료/버스정류소현황.xls,37.3196333,126.9501833,126.9501833,37.3196333,EPSG:4326,POINT (126.9501833 37.3196333)
의왕시,신협오거리,226000079,37.3196667,126.9500833,WGS84,자료/버스정류소현황.xls,37.3196667,126.9500833,126.9500833,37.3196667,EPSG:4326,POINT (126.9500833 37.3196667)
의왕시,아리조나,226000287,37.3838167,127.00655,WGS84,자료/버스정류소현황.xls,37.3838167,127.00655,127.00655,37.3838167,EPSG:4326,POINT (127.00655 37.3838167)
의왕시,아리조나,226000288,37.3837,127.00625,WGS84,자료/버스정류소현황.xls,37.3837,127.00625,127.00625,37.3837,EPSG:4326,POINT (127.00625 37.3837)
의왕시,안양남초등학교,226000135,37.3787167,126.9705333,WGS84,자료/버스정류소현황.xls,37.3787167,126.9705333,126.9705333,37.3787167,EPSG:4326,POINT (126.9705333 37.3787167)
