way_id,highway,name,ref,lanes,maxspeed,oneway,bridge,tunnel,length_m
379072989,residential,능안길,,,,,,,659.1
379072990,pedestrian,,,,,,,,285.9
379072991,residential,,,,,,,,13.26
379072992,service,,,,,,,,125.46
379072996,tertiary,포일로,,5,,,,,64.86
379072997,tertiary,,,5,,,yes,,84.28
379072998,residential,백운초등길,,,,,,,163.23
379073000,residential,,,,,,,,323.14
379073002,residential,민백1길,,,,,,,146.99
379073003,residential,민백2길,,,,,,,164.25
379073004,residential,흥안대로362번길,,,,,,,273.04
379073006,residential,흥안대로362번길,,,,,,,59.41
379073008,residential,흥안대로,,,,,,,106.47
379073015,tertiary,내손중앙로,,,,,,,339.16
379073018,residential,,,,,,,,79.54
379073019,residential,,,,,,,,119.26
379077646,residential,약수터길,,,,,,,271.16
379077647,residential,내손공원1길,,,,,,,164.88
379077648,residential,내손공원2길,,,,,,,136.62
379077650,service,,,,,,,,160.82
379077652,residential,정우길,,,,,,,297.71
379077653,living_street,정우1길,,,,,,,284.57
379077654,living_street,정우2길,,,,,,,241.59
379077655,residential,정우4길,,,,,,,160.5
379077656,living_street,정우3길,,,,,,,179.16
379077657,residential,,,,,,,,56.11
379077682,residential,,,,,,,,142.14
379077689,residential,흥안대로434번길,,,,,,,596.19
379077690,residential,새롬길,,,,,,,323.59
379077696,pedestrian,,,,,,,,184.16
381695283,tertiary,포일세거리로,,,,,,,671.77
381695284,tertiary,이미로,,,,,,,551.41
381695285,residential,봇들로,,,,,,,420.86
381695286,residential,봇들1로,,,,,,,211.98
381695287,residential,봇들2길,,,,,,,376.02
381695288,residential,,,,,,,,97.93
381695289,residential,봇들3길,,,,,,,186.84
381695290,residential,봇들4길,,,,,,,110.33
381695292,residential,봇들4길,,,,,,,63.87
381700249,residential,한직골서길,,,,,,,263.1
381700250,tertiary,덕장로,,,,,,,1000.7
381700251,residential,청계3로,,,,,,,190.43
381700252,living_street,,,,,,,,139.16
381700253,residential,청계1로,,,,,,,155.73
381700254,residential,,,,,,yes,,23.47
381700255,residential,청계1로,,,,,,,143.65
381700256,residential,한직골길,,,,,,,256.27
381700257,living_street,,,,,,,,151.49
381700258,living_street,양지편1로,,,,,,,430.14
381700259,residential,양지편1로,,,,,,,131.16
381700260,living_street,양지편1로,,,,,,,96.91
381700261,living_street,양지편1로,,,,,,,88.87
381700262,residential,양지편2로,,,,,,,210.32
381700263,residential,새터길,,,,,,,772.0
381700266,residential,양지편로,,,,,,,468.29
381700267,residential,,,,,,,,325.52
381707828,service,,,,,,,,340.46
382443747,tertiary,왕곡로,,,,,,,116.27
391671348,tertiary,포일세거리로,,,,,,,437.41
391671349,tertiary,성고개로,,,,yes,,,476.26
392125733,trunk_link,,,,,yes,,,245.88
392125734,trunk_link,,,,40,yes,,,542.9
392125735,trunk_link,,,,,yes,yes,,38.44
392125736,trunk,봉담과천로,,,,yes,,,337.79
392125737,trunk_link,,,,,yes,,yes,73.98
392125738,trunk_link,,,,,yes,,,103.04
392125740,trunk_link,,,,,yes,,,159.5
392125741,trunk_link,,,,,yes,,,219.98
393913112,tertiary,내손중앙로,,,,,,,308.61
393913113,tertiary,내손순환로,,,,,,,604.35
393913114,tertiary,내손순환로,,,,,,,361.99
396671499,trunk,봉담과천로,309,,90,yes,yes,,76.58
396671500,trunk,봉담과천로,309,,90,yes,yes,,76.89
396671501,trunk,봉담과천로,309,,90,yes,,,212.1
396671502,trunk,봉담과천로,309,,90,yes,,,518.37
402759112,primary,안양판교로,,,,yes,yes,,76.41
402759115,primary,안양판교로,57,4,,yes,yes,,154.27
402759119,primary,안양판교로,57,,,yes,,,1464.39
402759120,primary,안양판교로,57,4,,yes,,,512.16
403116023,tertiary,백운호수삼거리지하차도,,,,yes,,yes,94.19
403116024,tertiary,문화예술로,,,,yes,,,15.83
403953816,trunk,봉담과천로,309,,90,yes,yes,,74.7
403953819,trunk,봉담과천로,309,,90,yes,yes,,76.0
403953822,trunk,봉담과천로,309,,90,yes,,,238.26
403953823,trunk,봉담과천로,309,,90,yes,,,276.49
