city_kr,stop_name_kr,stop_name_en,stop_id,stop_code,stop_type,road_addr_raw,jibun_addr_raw,lon,lat
의왕시,삼호2차.청솔아파트,"Samho Apartment 2-cha, Chungsol Apartment ",226000383,27369,노변정류장,경기도 의왕시,,126.9556,37.3182167
의왕시,삼호2차.청솔아파트,"Samho Apartment 2-cha, Chungsol Apartment ",226000384,27370,노변정류장,경기도 의왕시,,126.9556,37.31815
의왕시,삼호2차아파트,Samho Apartment 2-cha,226000358,27344,노변정류장,경기도 의왕시,,126.9555,37.3175833
의왕시,삼호2차아파트,Samho Apartment 2-cha,226000365,27351,노변정류장,경기도 의왕시,,126.9554,37.3176167
의왕시,상록아파트,Sangrok Apartment ,226000240,27181,노변정류장,경기도 의왕시,,126.9721833,37.3775
의왕시,새마을금고.해병전우회,"Community Credit Cooperative,  Marine Corp Veterans Association",226000314,27304,노변정류장,경기도 의왕시,,126.9516667,37.321
의왕시,새마을금고.해병전우회,"Community Credit Cooperative,  Marine Corp Veterans Association",226000313,27303,노변정류장,경기도 의왕시,,126.9518333,37.3211333
의왕시,새터마을,Saeteo Maeul ,226000275,27265,노변정류장,경기도 의왕시,,127.01445,37.3899
의왕시,새터마을,Saeteo Maeul,226000114,27127,노변정류장,경기도 의왕시,경기도 의왕시 청계동,127.0138167,37.3927667
의왕시,새터마을,Saeteo Maeul ,226000121,27126,노변정류장,경기도 의왕시,경기도 의왕시 청계동,127.0123,37.3925667
의왕시,새터마을종점,Saeteo Maeul Bus Terminal ,226000274,27264,노변정류장,경기도 의왕시,,127.0114167,37.39075
의왕시,샘마을.대안중학교,"Saem Maeul, Daean Middle School",226000136,27050,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9676333,37.3746
의왕시,서울구치소,Seoul Prison & Correctional Facility,226000118,27121,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9889,37.3919
의왕시,서울구치소,Seoul Prison & Correctional Facility,226000117,27120,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.98825,37.3918667
의왕시,서해그랑블,Seohae Grandbleu,226000201,27205,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.9742667,37.3495333
의왕시,서해그랑블,Seohae Grandbleu,226000029,27132,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.97395,37.3497833
의왕시,선경무궁화아파트,Sunkyung Mugunghwa Apartment ,226000008,27093,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9789167,37.3518333
의왕시,선경무궁화아파트,Sunkyung Mugunghwa Apartment ,226000015,27091,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9787167,37.3521833
의왕시,수선화아파트,Suseonhwa Apartment ,226000175,27168,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9655833,37.3651333
의왕시,수원상회,Suwon Market,226000371,27357,노변정류장,경기도 의왕시,,126.9453667,37.3183833
의왕시,수원상회,Suwon Market,226000370,27356,노변정류장,경기도 의왕시,,126.9454667,37.3184667
의왕시,숲속마을1단지,Supsok Maeul 1-danji,226000205,27200,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.98615,37.3968667
의왕시,숲속마을1단지,Supsok Maeul 1-danji,226000204,27198,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9865,37.3969333
의왕시,숲속마을2단지,Supsok Maeul 2-danji,226000228,27222,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.98875,37.4008833
의왕시,숲속마을2단지,Supsok Maeul 2-danji,226000227,27221,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9872833,37.4003833
의왕시,숲속마을3.5단지,Supsok Maeul 3 & 5-danji,226000206,27199,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9862833,37.4036333
의왕시,숲속마을3.5단지,Supsok Maeul 3 & 5-danji,226000207,27201,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9858333,37.4023833
의왕시,숲속마을4단지,Supsok Maeul 4-danji ,226000209,27203,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9856833,37.4011
의왕시,숲속마을4단지,Supsok Maeul 4-danji,226000208,27202,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9858833,37.4010833
의왕시,숲속마을입구,Supsok Maeul ,226000223,27206,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9854333,37.3960667
의왕시,숲속마을입구,Supsok Maeul ,226000224,27207,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9851667,37.39605
의왕시,시티병원,City Hospital ,226000068,27079,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.9759667,37.34985
의왕시,시티병원,City Hospital ,226000030,27080,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9760333,37.3500833
의왕시,시티병원.구선병원(마을),"City Hospital, Guseon Hospital ",226000319,27309,노변정류장,경기도 의왕시,,126.97655,37.3501
의왕시,신안아파트.글로벌도서관,"Shinan Apartment,Global Library ",226000044,27139,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9661333,37.3577667
의왕시,신원수선화아파트,Sinwon Susunhwa Apartment ,226000176,27169,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9644333,37.3650333
의왕시,신협오거리,Sinhyup Ogeori,226000100,27006,노변정류장,경기도 의왕시,,126.9501833,37.3196333
의왕시,신협오거리,Sinhyup Ogeori,226000079,27005,노변정류장,경기도 의왕시,,126.9500833,37.3196667
