grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
451,126.98736164,37.39612014,308.39,118.13,980.66,346.32,411.53,0.0,0.97033,0.910864,0.900024,0.943254,0.924363,36.975,724,False
611,127.00152818,37.38942041,414.75,94.05,1666.4,195.21,486.23,0.026423,0.997398,0.711064,0.997774,0.90956,0.884118,36.95,725,False
513,126.99310139,37.38262428,540.28,524.04,1095.57,404.08,802.76,0.091776,0.514032,0.877383,0.86266,0.76678,0.783705,36.855,726,False
210,126.96502305,37.35996619,134.28,70.04,134.53,81.62,499.23,0.0,1.0,1.0,1.0,0.903694,0.985554,36.802,727,False
581,126.99868907,37.39166184,350.02,17.98,1463.55,163.11,155.86,0.0,1.0,0.770168,1.0,1.0,0.919559,36.782,728,False
515,126.99307105,37.38713102,388.72,305.97,917.0,263.21,479.45,0.012875,0.759171,0.92941,0.953785,0.912617,0.900156,36.779,729,False
123,126.95687871,37.31486004,135.18,91.46,486.73,290.68,18.25,0.0,1.0,1.0,0.936014,1.0,0.980804,36.761,730,False
841,127.02407834,37.39627363,914.95,205.91,3767.25,384.14,2261.62,0.286829,0.871658,0.09896,0.87556,0.108721,0.487944,36.728,731,False
61,126.94852637,37.30147646,1071.79,670.76,1828.5,1721.39,1615.17,0.368476,0.349086,0.663835,0.010521,0.400318,0.365364,36.723,732,False
512,126.99311655,37.3803709,610.87,575.16,1251.98,498.77,992.18,0.128525,0.456564,0.83181,0.801405,0.681337,0.725069,36.714,733,False
580,126.99870408,37.38940847,171.5,56.22,1417.45,206.41,343.2,0.0,1.0,0.783599,0.990526,0.974073,0.917529,36.701,734,False
840,127.02409259,37.39402025,857.13,89.21,3716.09,323.36,2239.29,0.256726,1.0,0.113865,0.914876,0.118793,0.532134,36.689,735,False
203,126.96513497,37.34419257,552.59,465.54,1373.43,494.54,572.0,0.098183,0.579791,0.796425,0.804144,0.87087,0.766581,36.554,736,False
706,127.0100005,37.38945582,577.71,190.61,2414.56,145.13,1075.13,0.111261,0.888856,0.493082,1.0,0.643917,0.746937,36.553,737,False
299,126.97645585,37.33973631,508.4,271.94,1860.56,241.87,702.8,0.075181,0.797428,0.654494,0.967588,0.811869,0.800615,36.535,738,False
842,127.02406409,37.398527,1031.8,434.88,3834.05,561.75,2310.93,0.347659,0.614261,0.079495,0.760667,0.086476,0.391847,36.533,739,False
548,126.99589506,37.38714309,209.06,171.16,1165.6,122.02,572.09,0.0,0.910723,0.856978,1.0,0.870828,0.912711,36.508,740,False
485,126.99020126,37.39387899,344.51,247.94,920.11,304.85,379.31,0.0,0.824411,0.928504,0.926846,0.957785,0.91158,36.463,741,False
237,126.96781421,37.36448567,141.66,175.26,664.53,376.66,87.94,0.0,0.906109,1.0,0.880395,1.0,0.94534,36.423,742,False
610,127.0015431,37.38716703,451.56,13.46,1664.06,348.75,685.77,0.04559,1.0,0.711748,0.898453,0.819548,0.84158,36.399,743,False
550,126.99586489,37.39164983,323.9,44.23,1224.44,368.18,123.66,0.0,1.0,0.839835,0.88588,1.0,0.909706,36.388,744,False
273,126.97360216,37.34423055,252.03,62.32,1314.61,243.82,547.15,0.0,1.0,0.813564,0.966325,0.882077,0.906956,36.278,745,False
879,127.02968484,37.40305636,1239.71,451.7,4472.25,1207.8,2941.84,0.455895,0.595348,0.0,0.342753,0.0,0.221895,36.229,746,False
