grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_school_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_road_m,nearest_road_way_id,nearest_road_name,nearest_road_highway,nearest_road_vol_mean,score_cctv_gap_0_1,score_school_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_road_proximity_0_1,score_traffic_0_1,total_score_equal_0_100,total_score_weighted_0_100,min_cctv_gap_m,max_road_dist_m
72,126.94847465,37.32601229,847.21,963.82,123.51,999.79,580.65,26.25,156200276,,residential,0.0,0.505382,0.69413,0.964285,0.905289,0.74844,0.875289,0.5,74.183,72.846,200.0,150.0
129,126.9567814,37.32838034,416.41,670.01,315.29,1248.32,118.53,1.52,491135708,덕영대로,tertiary,0.0,0.179486,0.826659,0.748692,0.832876,1.0,1.0,0.5,72.682,72.824,200.0,150.0
514,126.99308622,37.38487765,554.98,655.3,463.25,978.82,231.9,10.9,58858259,수도권제1순환고속도로,motorway,15.786,0.284313,0.833294,0.582368,0.9114,0.974036,0.968359,0.5,72.197,72.795,200.0,150.0
91,126.95113781,37.32835429,670.13,916.47,171.47,1196.95,383.47,1.6,476254477,금천말길,residential,0.0,0.37142,0.715487,0.910373,0.847845,0.875988,1.0,0.5,74.587,72.781,200.0,150.0
547,126.99591015,37.38488972,358.69,819.02,250.62,1214.83,101.39,34.41,82626318,학의로,tertiary,0.0,0.135822,0.759446,0.821392,0.842635,1.0,0.825823,0.5,69.787,72.728,200.0,150.0
66,126.9484313,37.31256751,460.37,405.94,253.69,673.23,656.89,75.83,488597558,,footway,0.0,0.212747,0.945776,0.817937,1.0,0.699125,0.574616,0.5,67.86,72.662,200.0,150.0
169,126.96244106,37.32615273,431.77,541.21,250.8,1284.99,317.1,51.3,1186451174,,path,0.0,0.191109,0.884758,0.821195,0.822193,0.918927,0.723387,0.5,69.451,72.633,200.0,150.0
384,126.98176894,37.39614534,272.0,513.5,300.94,900.11,377.2,14.61,1454713739,,residential,0.0,0.070244,0.897259,0.764829,0.934333,0.880045,0.945857,0.5,71.322,72.603,200.0,150.0
259,126.97063736,37.36449834,296.96,239.23,338.01,781.47,500.87,101.2,1279615347,,service,0.0,0.089125,1.0,0.723155,0.968899,0.800045,0.420812,0.5,64.315,72.576,200.0,150.0
578,126.99873408,37.38490172,216.03,824.49,74.4,1455.52,147.83,8.72,583396704,백운로,secondary,0.0,0.027902,0.756976,1.0,0.772507,1.0,0.981607,0.5,71.986,72.562,200.0,150.0
194,126.96527875,37.32391213,659.89,628.41,401.25,1320.52,222.19,13.45,58858348,봉담과천로,trunk,0.0,0.363676,0.845422,0.652059,0.811841,0.980316,0.952912,0.5,72.946,72.524,200.0,150.0
242,126.96854415,37.37545444,644.45,365.01,124.46,1167.65,682.73,13.95,156599649,오리나무1길,residential,0.0,0.351997,0.964237,0.963219,0.856381,0.682406,0.949894,0.5,75.259,72.523,200.0,150.0
261,126.9706057,37.36900508,514.95,272.08,383.15,1220.7,368.61,56.33,1303082468,,service,0.0,0.254036,1.0,0.672405,0.840926,0.885602,0.692895,0.5,69.227,72.426,200.0,150.0
90,126.9511542,37.32610091,616.77,758.23,267.71,948.66,468.03,24.48,598536144,,service,0.0,0.331061,0.786865,0.802177,0.920187,0.821291,0.886052,0.5,72.109,72.333,200.0,150.0
613,127.00149834,37.39392715,360.46,249.84,66.31,1779.75,362.08,41.18,381700250,덕장로,tertiary,0.0,0.137164,1.0,1.0,0.678038,0.889825,0.784753,0.5,71.283,72.233,200.0,150.0
481,126.99026229,37.38486551,735.12,449.36,537.61,751.9,471.46,76.88,58858252,수도권제1순환고속도로,motorway,15.786,0.420586,0.926191,0.498769,0.977514,0.81907,0.568297,0.5,67.292,72.169,200.0,150.0
121,126.95691113,37.31035327,398.9,497.32,85.31,892.43,706.04,93.52,472039935,덕영대로,tertiary,0.0,0.166243,0.904555,1.0,0.936569,0.667327,0.467357,0.5,66.315,72.024,200.0,150.0
166,126.96248921,37.31939258,302.74,452.64,418.49,896.1,341.06,26.67,670358699,,service,0.0,0.093501,0.924711,0.632682,0.9355,0.903423,0.872753,0.5,69.465,71.973,200.0,150.0
193,126.96529471,37.32165875,557.36,616.36,475.2,1208.74,100.77,4.66,493209390,영동고속도로,motorway,1.658,0.286115,0.850858,0.568928,0.84441,1.0,1.0,0.5,72.147,71.972,200.0,150.0
